participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject26,99.1406,1.5722,98.4375,101.9531,5,99.1406,1.5722,98.4375,101.9531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4017,1.7464,0.7355,0.0707
subject27,86.4844,32.942,42.1875,119.5312,5,108.9844,9.3015,94.9219,119.5312,22.5,32.3743,0.0,70.3125,20.5,29.1762,0.0,62.5,-2.1194,4.6445,0.6753,0.0987
subject3,94.3359,3.4565,91.4062,98.4375,6,96.0938,4.2576,91.4062,101.9531,1.7578,4.3057,0.0,10.5469,1.7241,4.2233,0.0,10.3448,1.165,5.0723,0.9064,0.0403
subject30,98.4375,7.5946,84.375,105.4688,7,98.4375,7.5946,84.375,105.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.063,1.9675,0.8551,0.0615
subject31,78.3482,1.7154,77.3438,80.8594,7,78.3482,1.7154,77.3438,80.8594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.927,2.9308,0.9123,0.0455
subject32,105.4688,12.1785,87.8906,119.5312,7,104.9665,11.5586,87.8906,119.5312,0.5022,1.3288,0.0,3.5156,0.4329,1.1453,0.0,3.0303,2.4604,2.6701,0.8788,0.1067
subject33,116.0156,5.741,105.4688,123.0469,7,116.0156,5.741,105.4688,123.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1742,2.8845,0.9023,0.0484
subject34,115.0112,2.6576,112.5,119.5312,7,115.0112,2.6576,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9461,2.3957,0.8955,0.0078
subject35,103.9621,13.5943,80.8594,119.5312,7,102.4554,15.2472,80.8594,119.5312,1.5067,3.9863,0.0,10.5469,1.7857,4.7246,0.0,12.5,3.4587,3.9094,0.9258,0.0374
subject36,118.5268,8.0462,101.9531,126.5625,7,118.5268,8.0462,101.9531,126.5625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3972,2.5063,0.9251,0.0339
subject37,60.2679,5.1463,52.7344,66.7969,7,59.2634,5.1463,52.7344,66.7969,1.0045,2.6576,0.0,7.0312,1.7857,4.7246,0.0,12.5,4.1201,4.6256,0.8524,0.1145
subject38,110.4911,2.7661,105.4688,112.5,7,110.4911,2.7661,105.4688,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9595,2.9469,0.9205,0.03
subject39,84.8772,2.426,80.8594,87.8906,7,84.8772,2.426,80.8594,87.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1115,3.2634,0.884,0.0241
subject4,100.5469,12.3298,84.375,116.0156,5,100.5469,12.3298,84.375,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0068,3.7217,0.8927,0.0316
subject40,85.8817,4.4733,77.3438,91.4062,7,85.8817,4.4733,77.3438,91.4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5827,2.4574,0.9417,0.0319
subject41,91.9085,22.0887,42.1875,105.4688,7,100.9487,3.344,98.4375,105.4688,9.0402,23.9181,0.0,63.2812,8.5714,22.6779,0.0,60.0,0.2463,3.1882,0.7734,0.1119
subject42,94.9219,6.7319,80.8594,98.4375,7,94.9219,6.7319,80.8594,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8279,1.648,0.8952,0.0133
subject43,98.9397,4.7292,91.4062,105.4688,7,98.9397,4.7292,91.4062,105.4688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3652,1.8086,0.7904,0.0554
subject44,81.8638,5.2595,73.8281,87.8906,7,82.8683,3.9863,77.3438,87.8906,1.0045,2.6576,0.0,7.0312,1.2422,3.2866,0.0,8.6957,-0.0299,3.5696,0.8269,0.132
subject45,108.4821,6.8618,94.9219,116.0156,7,109.4866,7.9727,94.9219,119.5312,1.0045,1.7154,0.0,3.5156,0.8531,1.4571,0.0,3.0303,2.4639,2.7284,0.8945,0.0418
subject46,96.9308,4.4733,91.4062,101.9531,7,96.9308,4.4733,91.4062,101.9531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0023,3.8255,0.8464,0.1256
subject47,110.4911,6.9893,98.4375,119.5312,7,110.4911,6.9893,98.4375,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.393,2.0231,0.9318,0.0174
subject48,90.8203,1.4352,87.8906,91.4062,6,90.2344,1.8155,87.8906,91.4062,0.5859,1.4352,0.0,3.5156,0.6667,1.633,0.0,4.0,1.3375,1.9869,0.7584,0.0524
subject49,87.3884,3.1631,84.375,91.4062,7,87.8906,4.0595,84.375,94.9219,0.5022,1.3288,0.0,3.5156,0.5291,1.3999,0.0,3.7037,2.5476,1.7758,0.8305,0.0773
subject5,97.7344,3.8512,91.4062,101.9531,5,98.4375,4.3057,91.4062,101.9531,0.7031,1.5722,0.0,3.5156,0.6897,1.5421,0.0,3.4483,4.4805,2.623,0.8865,0.0281
subject8,113.0022,2.426,108.9844,116.0156,7,113.0022,2.426,108.9844,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9294,2.0176,0.9051,0.034
subject9,107.9799,6.3263,98.4375,116.0156,7,107.9799,6.3263,98.4375,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6903,3.6751,0.8809,0.0369
