participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject22,94.4196,17.034,63.2812,112.5,7,101.9531,8.119,87.8906,112.5,7.5335,13.2212,0.0,31.6406,7.619,13.5693,0.0,33.3333,-4.3756,2.607,0.5264,0.1005
subject23,67.2991,8.227,59.7656,84.375,7,65.7924,4.4071,59.7656,70.3125,2.5112,5.2595,0.0,14.0625,3.5714,7.4801,0.0,20.0,2.5545,3.8081,0.8687,0.0481
subject24,103.9621,22.1286,70.3125,130.0781,7,103.4598,20.5854,70.3125,130.0781,1.5067,2.7661,0.0,7.0312,1.4118,2.4715,0.0,5.8824,-3.2317,2.7938,0.6848,0.0818
subject25,115.3125,2.9414,112.5,119.5312,5,115.3125,2.9414,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.045,1.6378,0.5468,0.0827
subject26,111.7969,42.0701,84.375,186.3281,5,99.1406,1.5722,98.4375,101.9531,21.0938,35.8525,0.0,84.375,20.8374,35.118,0.0,82.7586,-8.0445,2.7881,0.4167,0.1029
subject27,95.625,31.1882,42.1875,119.5312,5,108.9844,9.3015,94.9219,119.5312,14.7656,31.0889,0.0,70.3125,13.1667,27.6159,0.0,62.5,-5.1051,1.3222,0.5888,0.1378
subject3,94.3359,3.4565,91.4062,98.4375,6,96.0938,4.2576,91.4062,101.9531,1.7578,4.3057,0.0,10.5469,1.7241,4.2233,0.0,10.3448,-0.1552,3.9397,0.8564,0.0406
subject30,99.442,9.238,84.375,112.5,7,97.433,6.947,84.375,105.4688,3.0134,5.1463,0.0,14.0625,3.099,5.2327,0.0,14.2857,-1.6087,3.3017,0.6668,0.078
subject31,77.3438,3.5156,70.3125,80.8594,7,79.3527,2.7661,77.3438,84.375,2.0089,5.3151,0.0,14.0625,2.381,6.2994,0.0,16.6667,4.279,3.9741,0.9097,0.0664
subject32,105.971,11.379,91.4062,119.5312,7,104.9665,11.5586,87.8906,119.5312,1.0045,1.7154,0.0,3.5156,1.0043,1.7379,0.0,4.0,2.324,3.254,0.8534,0.0325
subject33,116.0156,8.3689,98.4375,123.0469,7,115.0112,8.0462,98.4375,123.0469,1.0045,1.7154,0.0,3.5156,0.8666,1.4809,0.0,3.125,-1.3778,1.9681,0.7144,0.037
subject34,115.0112,2.6576,112.5,119.5312,7,115.0112,2.6576,112.5,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7484,0.8849,0.8168,0.0291
subject35,103.9621,12.9741,80.8594,119.5312,7,102.4554,15.2472,80.8594,119.5312,2.5112,3.9118,0.0,10.5469,2.7288,4.5837,0.0,12.5,1.1691,3.8351,0.8225,0.0902
subject36,119.029,7.9727,101.9531,126.5625,7,118.5268,8.0462,101.9531,126.5625,0.5022,1.3288,0.0,3.5156,0.4329,1.1453,0.0,3.0303,2.1067,1.8087,0.869,0.0375
subject37,59.7656,6.0892,52.7344,70.3125,7,59.2634,5.1463,52.7344,66.7969,0.5022,1.3288,0.0,3.5156,0.7519,1.9893,0.0,5.2632,3.5199,3.2488,0.8678,0.111
subject38,109.9888,2.6576,105.4688,112.5,7,110.4911,2.7661,105.4688,112.5,0.5022,1.3288,0.0,3.5156,0.4464,1.1811,0.0,3.125,4.2921,2.4915,0.8577,0.0407
subject39,84.8772,2.426,80.8594,87.8906,7,84.8772,2.426,80.8594,87.8906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6185,2.0867,0.8385,0.048
subject4,110.3906,7.7023,98.4375,119.5312,5,103.3594,8.8241,94.9219,116.0156,8.4375,6.3864,0.0,14.0625,8.3617,6.6485,0.0,14.8148,-3.1446,4.5796,0.7931,0.0472
subject40,83.8728,6.5547,70.3125,87.8906,7,86.8862,2.6576,84.375,91.4062,3.0134,5.1463,0.0,14.0625,3.5256,6.0954,0.0,16.6667,0.2022,3.9029,0.8223,0.0434
subject41,79.8549,17.6616,59.7656,105.4688,7,100.9487,3.344,98.4375,105.4688,21.0938,17.103,0.0,42.1875,20.9453,16.9551,0.0,41.3793,-7.9565,4.6139,0.4551,0.1272
subject42,94.9219,6.7319,80.8594,98.4375,7,94.9219,6.7319,80.8594,98.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8385,1.7898,0.8157,0.0663
subject43,94.9219,8.119,84.375,105.4688,7,99.9442,6.6881,91.4062,112.5,7.0312,10.5469,0.0,28.125,6.6543,9.5377,0.0,25.0,-3.4435,3.9438,0.6233,0.1605
subject44,83.8728,4.2714,77.3438,87.8906,7,82.8683,3.9863,77.3438,87.8906,1.0045,2.6576,0.0,7.0312,1.2422,3.2866,0.0,8.6957,-0.4915,3.4064,0.8403,0.101
subject45,102.4554,26.8839,42.1875,119.5312,7,108.4821,8.9467,94.9219,119.5312,10.0446,21.0379,0.0,56.25,10.2797,21.3896,0.0,57.1429,-1.1856,2.9717,0.7178,0.0652
subject46,96.9308,4.4733,91.4062,101.9531,7,96.9308,4.4733,91.4062,101.9531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.354,2.9514,0.7915,0.1524
subject47,110.4911,6.9893,98.4375,119.5312,7,110.4911,6.9893,98.4375,119.5312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0655,1.3087,0.8356,0.0523
subject48,90.904,3.7584,87.8906,98.4375,7,91.4062,3.5156,87.8906,98.4375,0.5022,1.3288,0.0,3.5156,0.5495,1.4537,0.0,3.8462,-2.1536,2.6727,0.6019,0.0941
subject49,79.3527,13.745,49.2188,87.8906,7,87.8906,4.0595,84.375,94.9219,8.5379,17.2059,0.0,45.7031,9.0761,18.1581,0.0,48.1481,-1.6648,3.6125,0.6577,0.1159
subject5,97.2656,6.9131,84.375,101.9531,6,96.6797,6.5771,84.375,101.9531,0.5859,1.4352,0.0,3.5156,0.5952,1.458,0.0,3.5714,3.0709,1.7165,0.8502,0.0591
subject8,113.0022,2.426,108.9844,116.0156,7,113.0022,2.426,108.9844,116.0156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3516,1.861,0.8663,0.0419
subject9,105.971,8.9467,91.4062,116.0156,7,106.9754,7.278,98.4375,116.0156,1.0045,2.6576,0.0,7.0312,1.0204,2.6997,0.0,7.1429,1.127,3.0566,0.8873,0.0322
