participant_id,predicted_hr_mean,predicted_hr_std,predicted_hr_min,predicted_hr_max,predicted_hr_count,ground_truth_hr_mean,ground_truth_hr_std,ground_truth_hr_min,ground_truth_hr_max,absolute_error_mean,absolute_error_std,absolute_error_min,absolute_error_max,relative_error_mean,relative_error_std,relative_error_min,relative_error_max,snr_mean,snr_std,macc_mean,macc_std
subject24,62.4023,,62.4023,62.4023,1,95.8008,,95.8008,95.8008,33.3984,,33.3984,33.3984,34.8624,,34.8624,34.8624,-7.055,,0.6632,
subject25,113.3789,,113.3789,113.3789,1,113.3789,,113.3789,113.3789,0.0,,0.0,0.0,0.0,,0.0,0.0,-1.9613,,0.6697,
subject26,100.1953,,100.1953,100.1953,1,100.1953,,100.1953,100.1953,0.0,,0.0,0.0,0.0,,0.0,0.0,-0.3748,,0.6489,
subject27,54.4922,,54.4922,54.4922,1,111.6211,,111.6211,111.6211,57.1289,,57.1289,57.1289,51.1811,,51.1811,51.1811,-12.9427,,0.2247,
subject3,55.3711,,55.3711,55.3711,1,88.7695,,88.7695,88.7695,33.3984,,33.3984,33.3984,37.6238,,37.6238,37.6238,-7.1665,,0.3726,
subject30,57.1289,,57.1289,57.1289,1,102.832,,102.832,102.832,45.7031,,45.7031,45.7031,44.4444,,44.4444,44.4444,-9.0225,,0.235,
subject31,77.3438,,77.3438,77.3438,1,77.3438,,77.3438,77.3438,0.0,,0.0,0.0,0.0,,0.0,0.0,6.9266,,0.8485,
subject32,51.8555,,51.8555,51.8555,1,116.8945,,116.8945,116.8945,65.0391,,65.0391,65.0391,55.6391,,55.6391,55.6391,-18.306,,0.2063,
subject33,113.3789,,113.3789,113.3789,1,113.3789,,113.3789,113.3789,0.0,,0.0,0.0,0.0,,0.0,0.0,0.4147,,0.8789,
subject34,117.7734,,117.7734,117.7734,1,115.1367,,115.1367,115.1367,2.6367,,2.6367,2.6367,2.2901,,2.2901,2.2901,-1.0729,,0.6389,
subject35,116.4551,,116.4551,116.4551,1,116.4551,,116.4551,116.4551,0.0,,0.0,0.0,0.0,,0.0,0.0,-2.3944,,0.8865,
subject36,79.541,,79.541,79.541,1,121.7285,,121.7285,121.7285,42.1875,,42.1875,42.1875,34.657,,34.657,34.657,-11.9536,,0.2152,
subject37,55.3711,,55.3711,55.3711,1,55.3711,,55.3711,55.3711,0.0,,0.0,0.0,0.0,,0.0,0.0,-0.833,,0.553,
subject38,111.6211,,111.6211,111.6211,1,112.0605,,112.0605,112.0605,0.4395,,0.4395,0.4395,0.3922,,0.3922,0.3922,0.9446,,0.7447,
subject39,86.1328,,86.1328,86.1328,1,86.1328,,86.1328,86.1328,0.0,,0.0,0.0,0.0,,0.0,0.0,0.6307,,0.6248,
subject4,112.5,,112.5,112.5,1,112.5,,112.5,112.5,0.0,,0.0,0.0,0.0,,0.0,0.0,-2.6505,,0.8575,
subject40,87.8906,,87.8906,87.8906,1,87.8906,,87.8906,87.8906,0.0,,0.0,0.0,0.0,,0.0,0.0,5.4566,,0.8651,
subject41,64.1602,,64.1602,64.1602,1,100.1953,,100.1953,100.1953,36.0352,,36.0352,36.0352,35.9649,,35.9649,35.9649,-11.1379,,0.1793,
subject42,98.4375,,98.4375,98.4375,1,98.4375,,98.4375,98.4375,0.0,,0.0,0.0,0.0,,0.0,0.0,-0.7388,,0.6869,
subject43,56.25,,56.25,56.25,1,101.9531,,101.9531,101.9531,45.7031,,45.7031,45.7031,44.8276,,44.8276,44.8276,-10.7298,,0.2614,
subject44,49.2188,,49.2188,49.2188,1,79.1016,,79.1016,79.1016,29.8828,,29.8828,29.8828,37.7778,,37.7778,37.7778,-6.3842,,0.263,
subject45,111.6211,,111.6211,111.6211,1,111.6211,,111.6211,111.6211,0.0,,0.0,0.0,0.0,,0.0,0.0,-5.9022,,0.4987,
subject46,76.4648,,76.4648,76.4648,1,91.4062,,91.4062,91.4062,14.9414,,14.9414,14.9414,16.3462,,16.3462,16.3462,-8.8256,,0.2477,
subject47,112.5,,112.5,112.5,1,105.4688,,105.4688,105.4688,7.0312,,7.0312,7.0312,6.6667,,6.6667,6.6667,-4.5892,,0.7353,
subject48,91.4062,,91.4062,91.4062,1,91.4062,,91.4062,91.4062,0.0,,0.0,0.0,0.0,,0.0,0.0,-6.2452,,0.3859,
subject49,87.8906,,87.8906,87.8906,1,86.1328,,86.1328,86.1328,1.7578,,1.7578,1.7578,2.0408,,2.0408,2.0408,2.0784,,0.7465,
subject5,100.1953,,100.1953,100.1953,1,101.0742,,101.0742,101.0742,0.8789,,0.8789,0.8789,0.8696,,0.8696,0.8696,0.0002,,0.6972,
subject8,112.5,,112.5,112.5,1,112.5,,112.5,112.5,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0033,,0.703,
subject9,46.582,,46.582,46.582,1,107.2266,,107.2266,107.2266,60.6445,,60.6445,60.6445,56.5574,,56.5574,56.5574,-8.3884,,0.3855,
